student_id,gender.male,race_ethnicity.group A,race_ethnicity.group B,race_ethnicity.group C,race_ethnicity.group D,race_ethnicity.group E,parental_level_of_education.associate's degree,parental_level_of_education.bachelor's degree,parental_level_of_education.high school,parental_level_of_education.master's degree,parental_level_of_education.some college,parental_level_of_education.some high school,lunch.standard,test_preparation_course.completed,math_score,reading_score,performance_category.Average,performance_category.Excellent,performance_category.Good,performance_category.Poor,prep_parent_edu.completed.associate's degree,prep_parent_edu.completed.bachelor's degree,prep_parent_edu.completed.high school,prep_parent_edu.completed.master's degree,prep_parent_edu.completed.some college,prep_parent_edu.completed.some high school,prep_parent_edu.none.associate's degree,prep_parent_edu.none.bachelor's degree,prep_parent_edu.none.high school,prep_parent_edu.none.master's degree,prep_parent_edu.none.some college,prep_parent_edu.none.some high school,prep_lunch.completed.free/reduced,prep_lunch.completed.standard,prep_lunch.none.free/reduced,prep_lunch.none.standard
21,1,0,0,0,1,0,0,0,1,0,0,0,1,0,-0.00586951987567626,-0.01157519029382139,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
22,0,0,1,0,0,0,0,0,0,0,1,0,0,1,-0.07181918140012963,0.3993783112619405,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
23,1,0,0,0,1,0,0,0,0,0,1,0,1,0,-1.4567620734136504,-1.038958944183226,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
24,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0.19197946469768387,0.2623938107433532,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
25,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0.5217277723199507,0.1254093102247659,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
26,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0.45577811079549735,0.33088606100264684,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
27,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0.19197946469768387,-1.038958944183226,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
28,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.06008014164877711,-0.01157519029382139,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
29,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0.2579291262221372,0.05691705996547226,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
30,0,0,0,0,1,0,0,0,0,1,0,0,1,0,-0.26966816597348975,0.05691705996547226,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
31,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0.19197946469768387,0.33088606100264684,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
32,0,0,1,0,0,0,0,0,0,0,1,0,1,0,-0.20371850444903639,-0.28554419133099596,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
33,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-0.66536613512021,0.19390156048405954,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
34,1,0,0,0,1,0,0,0,0,0,1,0,1,0,-1.720560719511464,-1.86086594729475,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
35,1,0,0,0,0,1,0,0,0,0,1,0,1,0,2.0385699873823784,1.2212853143734643,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
36,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0.9833754029911244,0.8103318128177024,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
37,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0.5217277723199507,0.8103318128177024,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
38,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-1.0610641042669302,-0.35403644159028963,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
39,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0.5876774338444041,1.4267620651513453,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
40,1,0,1,0,0,0,1,0,0,0,0,0,0,0,-0.5994164735957566,-0.9019744436646389,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
41,1,0,0,1,0,0,1,0,0,0,0,0,0,0,-0.7313157966446634,-0.5595131923681705,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
42,0,0,0,1,0,0,1,0,0,0,0,0,1,0,-0.5334668120713032,0.2623938107433532,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
43,0,0,1,0,0,0,1,0,0,0,0,0,1,0,-0.8632151196935701,-0.7649899431460515,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
44,1,0,1,0,0,0,0,0,0,0,1,0,0,1,-0.4675171505468499,-0.28554419133099596,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
45,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1.0610641042669302,-0.9019744436646389,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
46,1,0,1,0,0,0,1,0,0,0,0,0,1,0,-0.07181918140012963,-1.038958944183226,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
47,0,1,0,0,0,0,1,0,0,0,0,0,1,1,-0.7313157966446634,-0.28554419133099596,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
48,0,0,0,1,0,0,0,0,1,0,0,0,1,0,-0.00586951987567626,0.1254093102247659,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
49,0,0,0,0,1,0,1,0,0,0,0,0,0,1,-0.5994164735957566,0.33088606100264684,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1.0493250645155776,1.0158085635955834,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
51,1,0,0,0,0,1,0,0,0,0,1,0,1,0,-0.8632151196935701,-0.9704666939239325,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
52,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0.7195767568933108,-0.01157519029382139,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53,1,0,0,1,0,0,0,0,0,0,1,0,1,0,-0.8632151196935701,-1.7238814467761625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
54,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1.445023033662298,0.6048550620398214,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
55,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0.3238787877465906,1.0158085635955834,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
56,0,0,0,1,0,0,0,0,1,0,0,0,0,0,-2.1822083501826377,-1.9293581975540435,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
57,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1.0493250645155776,1.084300813854877,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
58,1,0,0,0,1,0,1,0,0,0,0,0,1,0,-0.9291647812180235,-0.9704666939239325,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
59,1,0,0,0,1,0,0,0,0,0,1,0,1,1,-0.5334668120713032,-0.6964976928867579,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
60,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-4.358547180489599,-3.573172203777091,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
61,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0.8514760799422176,0.33088606100264684,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
62,1,1,0,0,0,0,0,0,0,0,0,1,0,0,-1.7865103810359173,-2.066342698072631,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
63,1,1,0,0,0,0,1,0,0,0,0,0,0,0,-0.26966816597348975,-0.5595131923681705,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
64,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0.19197946469768387,0.7418395625584088,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
65,0,0,0,0,1,0,0,0,0,0,0,1,1,0,-0.4675171505468499,-0.7649899431460515,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
66,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0.06008014164877711,-0.35403644159028963,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
67,1,0,0,0,1,0,0,0,0,0,0,1,0,0,-1.3908124118891971,-2.203327198591218,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
68,0,0,0,1,0,0,0,0,0,0,1,0,1,0,-0.4015674890223965,0.19390156048405954,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
69,1,0,1,0,0,0,1,0,0,0,0,0,0,0,-0.3356178274979431,-0.7649899431460515,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
70,0,0,0,1,0,0,1,0,0,0,0,0,1,0,-1.7865103810359173,-0.35403644159028963,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
71,0,0,0,0,1,0,0,0,0,0,1,0,0,1,-0.5334668120713032,-0.4225286918495833,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
72,1,0,0,0,1,0,0,0,0,0,1,0,1,1,-0.20371850444903639,-0.9704666939239325,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
73,0,1,0,0,0,0,1,0,0,0,0,0,0,0,-1.6546110579870106,-1.244435694961107,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
74,1,0,0,1,0,0,0,0,0,0,0,1,0,0,-0.3356178274979431,-0.8334821934053451,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
75,1,0,0,1,0,0,0,0,0,0,0,1,1,0,-1.1270137657913837,-1.3814201954796943,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
76,1,0,1,0,0,0,1,0,0,0,0,0,0,0,-1.4567620734136504,-1.9293581975540435,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
77,1,0,0,0,0,1,0,0,0,0,0,1,1,0,-2.3800573347559975,-2.956741951443448,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
78,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0.917425741466671,0.6048550620398214,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
79,0,0,0,0,1,0,0,0,0,0,0,1,1,1,-0.3356178274979431,0.33088606100264684,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
80,0,0,0,0,0,1,0,0,0,1,0,0,1,0,-0.26966816597348975,-0.08006744055311504,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
81,0,0,1,0,0,0,1,0,0,0,0,0,1,0,-1.2589130888402904,-1.3814201954796943,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
82,1,0,1,0,0,0,0,0,1,0,0,0,0,0,-1.1270137657913837,-1.655389196516869,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
83,1,1,0,0,0,0,0,0,0,0,1,0,0,1,-1.0610641042669302,-1.5184046959982815,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
84,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0.389828449271044,-0.35403644159028963,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
85,1,0,0,0,1,0,0,0,1,0,0,0,0,0,-1.588661396462557,-2.066342698072631,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
86,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0.45577811079549735,0.7418395625584088,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
87,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.6536270953688574,0.9473163133362897,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
88,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0.3238787877465906,0.1254093102247659,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
89,0,1,0,0,0,0,0,0,0,0,1,0,1,0,-0.5334668120713032,0.05691705996547226,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
90,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0.45577811079549735,1.1527930641141706,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
91,0,0,0,1,0,0,0,1,0,0,0,0,1,0,-0.07181918140012963,0.19390156048405954,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
92,1,0,0,1,0,0,0,0,1,0,0,0,0,0,-2.5779063193293577,-2.408803949369099,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
93,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0.3238787877465906,0.673347312299115,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
94,1,0,0,1,0,0,1,0,0,0,0,0,0,1,-1.5227117349381039,-1.655389196516869,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
95,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0.8514760799422176,1.1527930641141706,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
96,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0.7855264184177642,0.8103318128177024,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
97,1,0,1,0,0,0,0,0,0,0,0,1,1,1,-0.07181918140012963,-0.21705194107170234,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
98,0,0,0,0,0,1,0,0,0,0,1,0,1,1,-0.20371850444903639,0.19390156048405954,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
99,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.5334668120713032,-0.1485596908124087,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
100,0,0,0,0,1,0,0,1,0,0,0,0,1,0,-0.07181918140012963,-0.1485596908124087,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
101,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0.8514760799422176,-0.1485596908124087,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
102,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0.12602980317323048,0.33088606100264684,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
103,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1.2471740490889378,1.4952543154106388,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
104,1,0,1,0,0,0,0,0,1,0,0,0,1,1,-0.4015674890223965,-1.7238814467761625,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
105,1,0,0,1,0,0,0,0,0,0,1,0,1,1,2.1045196489068316,1.1527930641141706,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
106,0,0,0,1,0,0,0,0,0,0,1,0,1,0,-0.5334668120713032,-0.1485596908124087,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
107,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1.3790733721378445,2.1116845677442817,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
108,1,0,0,0,0,1,1,0,0,0,0,0,1,1,-0.00586951987567626,-0.4225286918495833,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
109,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-0.9291647812180235,0.46787056152123413,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
110,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0.2579291262221372,-0.35403644159028963,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
111,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0.7195767568933108,1.3582698148920516,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
112,1,0,0,1,0,0,0,0,1,0,0,0,1,0,-0.26966816597348975,-0.9704666939239325,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
113,1,1,0,0,0,0,1,0,0,0,0,0,1,0,-0.7972654581691168,-1.1074511944425198,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
114,0,0,0,0,1,0,0,0,0,0,1,0,1,0,-0.9951144427424768,-0.7649899431460515,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
115,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2.170469310431285,2.1116845677442817,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
116,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1.1812243875644846,0.5363628117805278,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
117,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.5876774338444041,1.084300813854877,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
118,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.7855264184177642,0.878824063076996,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
119,0,0,0,0,1,0,0,0,0,0,0,1,1,0,-0.9951144427424768,-0.4225286918495833,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
120,0,0,0,1,0,0,0,0,0,0,1,0,1,0,-0.7313157966446634,-0.01157519029382139,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
121,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0.8514760799422176,1.5637465656699325,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
122,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1.642872018235658,1.3582698148920516,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
123,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1.445023033662298,1.6322388159292263,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
124,1,0,0,0,1,0,0,0,1,0,0,0,0,0,-0.20371850444903639,-0.8334821934053451,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
125,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1.115274726040031,0.7418395625584088,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
126,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1.3790733721378445,1.7692233164478135,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
127,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0.389828449271044,-0.08006744055311504,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
128,1,0,0,0,1,0,0,0,0,0,1,0,1,1,-0.07181918140012963,0.5363628117805278,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
129,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1.0493250645155776,0.878824063076996,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
130,0,1,0,0,0,0,0,1,0,0,0,0,1,0,-0.9951144427424768,-1.3814201954796943,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
131,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1.5109726951867513,1.0158085635955834,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
132,1,0,0,1,0,0,0,0,0,0,0,1,0,1,-0.8632151196935701,-2.203327198591218,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
133,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1.3790733721378445,0.33088606100264684,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
134,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0.5876774338444041,0.8103318128177024,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
135,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0.5217277723199507,0.673347312299115,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
136,1,0,0,1,0,0,0,1,0,0,0,0,1,0,-0.5334668120713032,-0.9704666939239325,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
137,1,0,1,0,0,0,0,0,0,0,0,1,1,1,-0.9951144427424768,-1.038958944183226,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
138,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0.2579291262221372,-0.9704666939239325,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
139,0,0,0,1,0,0,1,0,0,0,0,0,1,0,-0.4675171505468499,-0.21705194107170234,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
140,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0.3238787877465906,-0.5595131923681705,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
141,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0.6536270953688574,0.19390156048405954,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
142,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-0.4675171505468499,-0.4910209421088769,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
143,0,0,0,0,0,1,0,0,0,0,1,0,0,1,-1.588661396462557,-0.9704666939239325,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
144,1,1,0,0,0,0,0,0,1,0,0,0,1,0,-0.5994164735957566,-1.7923736970354562,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
145,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1.445023033662298,0.2623938107433532,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
146,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-2.907654626951625,-2.066342698072631,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
147,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1.445023033662298,1.0158085635955834,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
